Gene name,GO term accession,GO domain
CASP8,GO:0043124,biological_process
CASP8,GO:0051604,biological_process
CASP8,GO:0043065,biological_process
CASP8,GO:0071260,biological_process
CASP8,GO:0042113,biological_process
CASP8,GO:0060546,biological_process
CASP8,GO:0005741,cellular_component
CASP8,GO:0036462,biological_process
CASP8,GO:0097191,biological_process
CASP8,GO:0005856,cellular_component
CASP8,GO:0030101,biological_process
CASP8,GO:0042110,biological_process
CASP8,GO:0005739,cellular_component
CASP8,GO:0034612,biological_process
CASP8,GO:0070269,biological_process
CASP8,GO:0010803,biological_process
CASP8,GO:0031264,cellular_component
CASP8,GO:0097342,cellular_component
CASP8,GO:0097264,biological_process
CASP8,GO:0097194,biological_process
CASP8,GO:0032731,biological_process
CASP8,GO:0035877,molecular_function
CASP8,GO:0008625,biological_process
CASP8,GO:0051603,biological_process
CASP8,GO:0030225,biological_process
CASP8,GO:0045651,biological_process
CASP8,GO:0031265,cellular_component
CASP8,GO:0097153,molecular_function
CASP8,GO:0097199,molecular_function
CASP8,GO:0097190,biological_process
CASP8,GO:0045862,biological_process
CASP8,GO:0097202,biological_process
CASP8,GO:0097110,molecular_function
CASP8,GO:0060715,biological_process
CASP8,,
CASP8,GO:0005123,molecular_function
CASP8,GO:0005164,molecular_function
CASP8,GO:0044877,molecular_function
CASP8,GO:0016485,biological_process
CASP8,GO:0032025,biological_process
CASP8,GO:0032355,biological_process
CASP8,GO:0032496,biological_process
CASP8,GO:0043525,biological_process
CASP8,GO:0045471,biological_process
CASP8,GO:0071407,biological_process
CASP8,GO:0044297,cellular_component
CATSPER1,GO:0016020,cellular_component
CATSPER1,GO:0006811,biological_process
CATSPER1,GO:0055085,biological_process
CATSPER1,GO:0005216,molecular_function
CATSPER1,GO:0036128,cellular_component
CATSPER1,GO:0005227,molecular_function
CATSPER1,GO:0030317,biological_process
CATSPER1,GO:0042995,cellular_component
CATSPER1,GO:0005886,cellular_component
CATSPER1,GO:0005929,cellular_component
CATSPER1,GO:0031514,cellular_component
CATSPER1,GO:0030154,biological_process
CATSPER1,GO:0005515,molecular_function
CATSPER1,GO:0006816,biological_process
CATSPER1,GO:0005262,molecular_function
CATSPER1,GO:0034220,biological_process
CATSPER1,GO:0070588,biological_process
CATSPER1,GO:0007283,biological_process
CATSPER1,GO:0097228,cellular_component
CATSPER1,GO:0005245,molecular_function
CATSPER1,GO:0034702,cellular_component
CATSPER1,GO:0060296,biological_process
CATSPER1,,
CCDC80,GO:0005576,cellular_component
CCDC80,GO:0030198,biological_process
CCDC80,GO:0010811,biological_process
CCDC80,GO:0005604,cellular_component
CCDC80,GO:0001968,molecular_function
CCDC80,GO:0005539,molecular_function
CCDC80,GO:0008201,molecular_function
CCDC80,GO:0009617,biological_process
CCDC80,GO:0005614,cellular_component
CCDC80,GO:0031012,cellular_component
CCDC80,GO:0016020,cellular_component
CCDC80,,
CCL1,GO:0005576,cellular_component
CCL1,GO:0006955,biological_process
CCL1,GO:0008009,molecular_function
CCL1,GO:0005615,cellular_component
CCL1,GO:0005125,molecular_function
CCL1,GO:0006935,biological_process
CCL1,GO:0007186,biological_process
CCL1,GO:0048020,molecular_function
CCL1,GO:0002548,biological_process
CCL1,GO:0006954,biological_process
CCL1,GO:0007165,biological_process
CCL1,GO:0030593,biological_process
CCL1,GO:0048245,biological_process
CCL1,GO:0048247,biological_process
CCL1,GO:0070098,biological_process
CCL1,GO:0070374,biological_process
CCL1,GO:0071346,biological_process
CCL1,GO:0071347,biological_process
CCL1,GO:0071356,biological_process
CCL1,GO:0050729,biological_process
CCL1,GO:0006874,biological_process
CCL1,GO:0032740,biological_process
CCL1,GO:0007204,biological_process
CCL1,GO:0016032,biological_process
CCL1,GO:0090026,biological_process
CCL11,GO:0005576,cellular_component
CCL11,GO:0006955,biological_process
CCL11,GO:0008009,molecular_function
CCL11,GO:0005515,molecular_function
CCL11,GO:0005615,cellular_component
CCL11,GO:0005125,molecular_function
CCL11,GO:0006954,biological_process
CCL11,GO:0007010,biological_process
CCL11,GO:0006935,biological_process
CCL11,GO:0007186,biological_process
CCL11,GO:0008360,biological_process
CCL11,GO:0006468,biological_process
CCL11,GO:0031728,molecular_function
CCL11,GO:0048018,molecular_function
CCL11,GO:0048020,molecular_function
CCL11,GO:0001938,biological_process
CCL11,GO:0002548,biological_process
CCL11,GO:0007165,biological_process
CCL11,GO:0030335,biological_process
CCL11,GO:0030593,biological_process
CCL11,GO:0030838,biological_process
CCL11,GO:0043547,biological_process
CCL11,GO:0048245,biological_process
CCL11,GO:0048247,biological_process
CCL11,GO:0070098,biological_process
CCL11,GO:0070374,biological_process
CCL11,GO:0071346,biological_process
CCL11,GO:0071347,biological_process
CCL11,GO:0071356,biological_process
CCL11,GO:0007155,biological_process
CCL11,GO:0009615,biological_process
CCL11,GO:0009314,biological_process
CCL11,GO:0007611,biological_process
CCL11,GO:0050768,biological_process
CCL11,GO:0006874,biological_process
CCL11,GO:0046983,molecular_function
CCL11,GO:0002544,biological_process
CCL11,GO:0002551,biological_process
CCL11,GO:0007015,biological_process
CCL11,GO:0035962,biological_process
CCL11,GO:0045766,biological_process
CCL11,GO:0060444,biological_process
CCL11,GO:0060763,biological_process
CCL11,GO:0070371,biological_process
CCL11,GO:0070670,biological_process
CCL7,GO:0005576,cellular_component
CCL7,GO:0006955,biological_process
CCL7,GO:0008009,molecular_function
CCL7,GO:0005515,molecular_function
CCL7,GO:0008201,molecular_function
CCL7,GO:0005615,cellular_component
CCL7,GO:0005125,molecular_function
CCL7,GO:0006954,biological_process
CCL7,GO:0007010,biological_process
CCL7,GO:0006935,biological_process
CCL7,GO:0007186,biological_process
CCL7,GO:0030335,biological_process
CCL7,GO:0008360,biological_process
CCL7,GO:0048020,molecular_function
CCL7,GO:0002548,biological_process
CCL7,GO:0007165,biological_process
CCL7,GO:0007267,biological_process
CCL7,GO:0030593,biological_process
CCL7,GO:0048245,biological_process
CCL7,GO:0048247,biological_process
CCL7,GO:0070098,biological_process
CCL7,GO:0070374,biological_process
CCL7,GO:0071346,biological_process
CCL7,GO:0071347,biological_process
CCL7,GO:0071356,biological_process
CCL7,GO:0031726,molecular_function
CCL7,GO:0006874,biological_process
CCL7,GO:2000503,biological_process
CCL7,GO:0031727,molecular_function
CCL7,GO:0010332,biological_process
CCL7,GO:0071361,biological_process
CCL7,,
CCL8,GO:0005576,cellular_component
CCL8,GO:0006955,biological_process
CCL8,GO:0008009,molecular_function
CCL8,GO:0004672,molecular_function
CCL8,GO:0006887,biological_process
CCL8,GO:0005515,molecular_function
CCL8,GO:0008201,molecular_function
CCL8,GO:0005615,cellular_component
CCL8,GO:0006816,biological_process
CCL8,GO:0005125,molecular_function
CCL8,GO:0006954,biological_process
CCL8,GO:0006935,biological_process
CCL8,GO:0007186,biological_process
CCL8,GO:0006874,biological_process
CCL8,GO:0048020,molecular_function
CCL8,GO:0002548,biological_process
CCL8,GO:0007165,biological_process
CCL8,GO:0030593,biological_process
CCL8,GO:0048245,biological_process
CCL8,GO:0048247,biological_process
CCL8,GO:0070098,biological_process
CCL8,GO:0070374,biological_process
CCL8,GO:0071346,biological_process
CCL8,GO:0071347,biological_process
CCL8,GO:0071356,biological_process
CCL8,GO:0009615,biological_process
CCL8,GO:0007267,biological_process
CCL8,GO:0016004,molecular_function
CCL8,GO:0002687,biological_process
CCL8,GO:0044828,biological_process
CCL8,GO:0070664,biological_process
CD1C,GO:0016020,cellular_component
CD1C,GO:0005794,cellular_component
CD1C,GO:0043231,cellular_component
CD1C,GO:0005783,cellular_component
CD1C,GO:0005886,cellular_component
CD1C,GO:0005768,cellular_component
CD1C,GO:0005764,cellular_component
CD1C,GO:0010008,cellular_component
CD1C,GO:0005515,molecular_function
CD1C,GO:0002376,biological_process
CD1C,GO:0002250,biological_process
CD1C,GO:0008289,molecular_function
CD1C,GO:0006955,biological_process
CD1C,GO:0005615,cellular_component
CD1C,GO:0009897,cellular_component
CD1C,GO:0001916,biological_process
CD1C,GO:0030883,molecular_function
CD1C,GO:0030884,molecular_function
CD1C,GO:0071723,molecular_function
CD1C,GO:0048006,biological_process
CD1C,GO:0048007,biological_process
CD1C,GO:0002286,biological_process
CD1C,GO:0051861,molecular_function
CD1D,GO:0005737,cellular_component
CD1D,GO:0016020,cellular_component
CD1D,GO:0005783,cellular_component
CD1D,GO:0005789,cellular_component
CD1D,GO:0005886,cellular_component
CD1D,GO:0005768,cellular_component
CD1D,GO:0005764,cellular_component
CD1D,GO:0005765,cellular_component
CD1D,GO:0010008,cellular_component
CD1D,GO:0005515,molecular_function
CD1D,GO:0002376,biological_process
CD1D,GO:0045087,biological_process
CD1D,GO:0016323,cellular_component
CD1D,GO:0006955,biological_process
CD1D,GO:0005615,cellular_component
CD1D,GO:0009897,cellular_component
CD1D,GO:0042393,molecular_function
CD1D,GO:0045089,biological_process
CD1D,GO:0009986,cellular_component
CD1D,GO:0016045,biological_process
CD1D,GO:0042102,biological_process
CD1D,GO:0045058,biological_process
CD1D,GO:0001916,biological_process
CD1D,GO:0050839,molecular_function
CD1D,GO:0030881,molecular_function
CD1D,GO:0030883,molecular_function
CD1D,GO:0030884,molecular_function
CD1D,GO:0071723,molecular_function
CD1D,GO:0048006,biological_process
CD1D,GO:0048007,biological_process
CD1D,GO:0030882,molecular_function
CD1D,GO:0034113,biological_process
CD1D,,
CD5L,GO:0016020,cellular_component
CD5L,GO:0005044,molecular_function
CD5L,GO:0005737,cellular_component
CD5L,GO:0005576,cellular_component
CD5L,GO:0006915,biological_process
CD5L,GO:0002376,biological_process
CD5L,GO:0006954,biological_process
CD5L,GO:0005886,cellular_component
CD5L,GO:0004252,molecular_function
CD5L,GO:0072562,cellular_component
CD5L,GO:0005615,cellular_component
CD5L,GO:0006968,biological_process
CD5L,GO:0030449,biological_process
CD5L,GO:0031638,biological_process
CD5L,GO:1903661,biological_process
CD5L,GO:0009986,cellular_component
CD5L,,
CD84,GO:0016020,cellular_component
CD84,GO:0043231,cellular_component
CD84,GO:0005886,cellular_component
CD84,GO:0007155,biological_process
CD84,GO:0005515,molecular_function
CD84,GO:0006914,biological_process
CD84,GO:0002376,biological_process
CD84,GO:0045087,biological_process
CD84,GO:0002250,biological_process
CD84,GO:0009897,cellular_component
CD84,GO:0042802,molecular_function
CD84,GO:0043305,biological_process
