gene,study_count
TMEM179,2
TMEM220,2
TMEM26,2
TMLHE,2
TNFRSF10D,2
TNFSF11,2
TNNC2,2
TNS1,2
TPM1,2
TREML1,2
TRH,2
TRIM10,2
TRIM54,2
TRIM60,2
TRIM67,2
TRPM8,2
TSHZ2,2
TSHZ3,2
TSKS,2
TSPYL5,2
TSSK4,2
TTC22,2
TTLL10,2
TUBA4A,2
TULP1,2
TWIST1,2
TXNRD2,2
UBA7,2
UGT1A1,2
UGT3A1,2
USP44,2
USP6,2
VAMP5,2
VAX2,2
VEGFC,2
VENTX,2
VHL,2
VILL,2
VSNL1,2
VSX2,2
VWA2,2
WBSCR17,2
WDR27,2
WDR5B,2
WFDC2,2
WISP1,2
WNT11,2
WNT5B,2
ZCCHC13,2
ZDHHC19,2
ZFHX4,2
ZFP64,2
ZHX3,2
ZIC5,2
ZIK1,2
ZNF135,2
ZNF142,2
ZNF146,2
ZNF169,2
ZNF22,2
ZNF30,2
ZNF543,2
ZNF572,2
ZNF623,2
ZNF626,2
ZNF655,2
ZNF662,2
ZNF671,2
ZSCAN12,2
JUN,1
SAT,1
5S-RNA,1
A1BG,1
A26C1A,1
A26C1B,1
A2BP1,1
A3GALT2,1
A4GNT,1
AADAC,1
AASS,1
ABCA1,1
ABCA4,1
ABCB11,1
ABCB4,1
ABCB9,1
ABCC12,1
ABCC4,1
ABCC8,1
ABCG5,1
ABCG8,1
ABHD1,1
ABHD10,1
ABHD11,1
ABI3,1
ABLIM1,1
ABLIM2,1
ABO,1
ABR,1
ABRA,1
ABT1,1
AC008403.1,1
AC069281.2,1
AC084864.2,1
AC092502.2,1
AC095061.1,1
ACA9,1
ACAA1,1
ACADM,1
ACAT1,1
ACAT2,1
ACBD4,1
ACBD5,1
ACCN1,1
ACCN4,1
ACIN1,1
ACOT11,1
ACOT2,1
ACP1,1
ACP5,1
ACP6,1
ACPL2,1
ACRBP,1
ACRV1,1
ACSBG1,1
ACSL1,1
ACSS1,1
ACSS3,1
ACTC1,1
ACTG2,1
ACTL7B,1
ACTN2,1
ACTN3,1
ACTR6,1
ACVR2A,1
ACVRL1,1
ACY1,1
ADA,1
ADAM2,1
ADAM22,1
ADAM23,1
ADAM30,1
ADAM32,1
ADAMTS1,1
ADAMTS10,1
ADAMTS12,1
ADAMTS13,1
ADAMTS15,1
ADAMTS17,1
ADAMTS19,1
ADAMTS2,1
ADAMTS20,1
ADAMTS3,1
ADAMTS4,1
ADAMTS7,1
ADAMTSL1,1
ADAMTSL3,1
ADAMTSL5,1
ADAR,1
ADC,1
ADCY6,1
ADCY7,1
ADCY9,1
ADCYAP1,1
ADCYAP1R1,1
ADD1,1
ADD3,1
ADFP,1
ADIG,1
ADIPOQ,1
ADK,1
ADM,1
ADMR,1
ADNP2,1
ADORA2B,1
ADPRHL1,1
ADRA1A,1
ADRA1B,1
ADRA2A,1
ADRA2B,1
ADRB2,1
ADRB3,1
AEBP2,1
AFAP1L1,1
AFAP1L2,1
AFAR3,1
AFF2,1
AFF3,1
AFF4,1
AGK,1
AGPAT4,1
AGRP,1
AGTRAP,1
AGXT2L2,1
AHNAK,1
AIFM2,1
AIM1L,1
AJAP1,1
AK2,1
AK5,1
AKAP10,1
AKNA,1
AKR1B1,1
AKR1D1,1
AKT1,1
AKTIP,1
AL096711.1,1
AL132857.1,1
AL160397.2,1
AL590623.1,1
ALDH1A2,1
ALDH1A3,1
ALDH3A2,1
ALDOA,1
ALKBH4,1
ALLC,1
ALOX12,1
ALOX5,1
ALPI,1
ALPP,1
ALPPL2,1
ALS2CL,1
ALS2CR,1
ALS2CR11,1
ALS2CR12,1
AMAC1,1
AMHR2,1
AMID,1
AMMECR1,1
AMN,1
AMOTL1,1
AMOTL2,1
AMPH,1
AMT,1
AMY2B,1
ANG,1
ANGPTL2,1
ANGPTL7,1
ANKDD1A,1
ANKK1,1
ANKMY1,1
ANKRD13B,1
ANKRD15,1
ANKRD2,1
ANKRD20A3,1
ANKRD23,1
ANKRD24,1
ANKRD27,1
ANKRD28,1
ANKRD34B,1
ANKRD39,1
ANKRD44,1
ANKRD45,1
ANKS3,1
ANP32B,1
ANP32D,1
ANXA1,1
ANXA9,1
AOC2,1
AP1G2,1
AP3B2,1
AP3M1,1
AP3M2,1
APBA2,1
APBA3,1
APBB1,1
APBB1IP,1
APCDD1L,1
APITD1,1
APLN,1
APOB48R,1
APOBEC2,1
APOBEC3C,1
APOC2,1
APOE,1
APOL3,1
APOL6,1
APOM,1
AQP11,1
AQP2,1
AQP4,1
AR,1
ARAP3,1
ARF1,1
ARFGAP1,1
ARFGAP2,1
ARFGEF1,1
ARG2,1
ARHGAP19,1
ARHGAP20,1
ARHGAP21,1
ARHGAP26,1
ARHGAP30,1
ARHGDIG,1
ARHGEF1,1
ARHGEF16,1
ARHGEF17,1
ARHGEF19,1
ARHGEF3,1
ARHGEF7,1
ARID3A,1
ARID3C,1
ARID5A,1
ARIH2,1
ARL4C,1
ARL6,1
ARMC3,1
ARMCX1,1
ARMCX2,1
ARNTL,1
ARP10,1
ARPC1B,1
ARPC4,1
ARRB2,1
ARRDC2,1
ARSG,1
ARSI,1
ART3,1
ARTN,1
ARVCF,1
AS3MT,1
ASAP3,1
ASB2,1
ASC,1
ASCL1,1
ASCL2,1
ASGR2,1
ASH1L,1
ASIP,1
ASPN,1
ASTL,1
ASTN1,1
ASXL1,1
ASXL3,1
ASZ1,1
ATAD3A,1
ATAD3C,1
ATAD4,1
ATF3,1
ATF4,1
ATG5,1
ATG7,1
ATG9B,1
ATM,1
ATOH1,1
ATOH8,1
ATP10A,1
ATP11A,1
ATP12A,1
ATP1A4,1
ATP1B1,1
ATP2B1,1
ATP2B3,1
ATP2B4,1
ATP2C2,1
ATP5D,1
ATP5G3,1
ATP5I,1
ATP5SL,1
ATP6V0A4,1
ATP6V0C,1
ATP6V0D1,1
ATP6V1B1,1
ATP6V1C1,1
ATP6V1D,1
ATP6V1E2,1
ATP6V1G2,1
ATP8A1,1
ATP8A2,1
ATP8B1,1
ATP8B2,1
ATP9A,1
ATPBD3,1
ATXN2,1
ATXN2L,1
ATXN7L1,1
ATXN7L2,1
ATXN7L3,1
ATXN8OS,1
AURKAIP1,1
AXUD1,1
AZI1,1
B3GALNT1,1
B3GALNT2,1
B3GALT4,1
B3GAT1,1
B3GNT3,1
B4GALNT1,1
B4GALNT3,1
B4GALNT4,1
BAALC,1
BACE,1
BACE1,1
BAD,1
BAG1,1
BAI1,1
BAK1,1
BANP,1
BARD1,1
BAT2,1
BAT4,1
BCAM,1
BCAN,1
BCAR1,1
BCAS1,1
BCAT2,1
BCDIN3,1
BCL2A1,1
BCL2L10,1
BCL2L11,1
BCL6B,1
BCL9,1
BCS1L,1
BDKRB2,1
BDP1,1
BECN1,1
BEND4,1
BEND6,1
BEST1,1
BEST4,1
BGLAP,1
BHLHB3,1
BHLHB5,1
BHLHB8,1
BHLHE22,1
BHMT2,1
BICD2,1
BID,1
BIN1,1
BIN2,1
BIRC1,1
BIRC3,1
BIRC5,1
BIRC7,1
BLCAP,1
BLVRB,1
