gene,BP,CC,MF
BRD2,"['GO:0006357', 'GO:0001843', 'GO:0006468']","['GO:0000785', 'GO:0005737', 'GO:0005654', 'GO:0005634', 'GO:0016607']","['GO:0005515', 'GO:0003682']"
CACNA1A,"['GO:0098703', 'GO:0006816', 'GO:0070588', 'GO:0007204', 'GO:0070509']","['GO:0043025', 'GO:0005886', 'GO:0005737', 'GO:0005891', 'GO:0016020', 'GO:0005634']","['GO:0001540', 'GO:0005515', 'GO:0005509', 'GO:0008331']"
CACNA1E,"['GO:0098703', 'GO:0006816', 'GO:0070509']","['GO:0043025', 'GO:0005886', 'GO:0005891']","['GO:0005509', 'GO:0008331']"
CALCRL,"['GO:0001525', 'GO:0006816', 'GO:0050728', 'GO:1990408']","['GO:0005887', 'GO:0005886', 'GO:0005737', 'GO:0016020']",['GO:0005515']
CASP8,"['GO:0045471', 'GO:0001525', 'GO:0006915', 'GO:0097202', 'GO:0006919', 'GO:0043065', 'GO:0043124', 'GO:0032731', 'GO:0043123', 'GO:0001817', 'GO:1901216', 'GO:0071260', 'GO:0042113']","['GO:0045121', 'GO:0005737', 'GO:0043005', 'GO:0005654', 'GO:0005829', 'GO:0005856']","['GO:0097110', 'GO:0005515', 'GO:0044877']"
CAV2,"['GO:0030154', 'GO:0043410', 'GO:0030512', 'GO:0001938']","['GO:0005925', 'GO:0045121', 'GO:0005887', 'GO:0005886', 'GO:0042383', 'GO:0005901', 'GO:0016020', 'GO:0005794', 'GO:0044853', 'GO:0005634', 'GO:0048471', 'GO:0031410']","['GO:0097110', 'GO:0005515', 'GO:0042803', 'GO:0019901', 'GO:0030674']"
CBX5,"['GO:0000122', 'GO:0045892', 'GO:0006974']","['GO:0005654', 'GO:0005634', 'GO:0017053']","['GO:0005515', 'GO:0044877', 'GO:0003682', 'GO:0042826', 'GO:0030674']"
CCDC154,['GO:0042475'],['GO:0005769'],
CCDC8,['GO:0000226'],"['GO:0005886', 'GO:0005737', 'GO:0005654', 'GO:0005829']",['GO:0005515']
CCK,"['GO:0007409', 'GO:0007165', 'GO:0001764']","['GO:0005615', 'GO:0005576', 'GO:0030424']",['GO:0005515']
CCL7,"['GO:0006874', 'GO:0006954', 'GO:0007267', 'GO:0006935', 'GO:0070374', 'GO:0071356', 'GO:0008360', 'GO:0007165', 'GO:0030335']","['GO:0005615', 'GO:0005576']",['GO:0005515']
CD1B,"['GO:0001916', 'GO:0048006', 'GO:0048007']","['GO:0009986', 'GO:0005615', 'GO:0005886', 'GO:0016020', 'GO:0005794', 'GO:0005829']","['GO:0005515', 'GO:0030883', 'GO:0030884']"
